Job Title,Category
web editor,Content/Media
route manager,Operations
quality manager,Quality Assurance
budget mgr,Finance
inspector,Quality Assurance
banesco usa,Other
mechanical design engineer,Engineering
mission assembly,Manufacturing
authorization specialist/referral assist,Healthcare
registered nurse,Healthcare
it process eng.,IT/Technology
area teacher ii,Education
claims representative,Insurance
technician,Technical Support
astec mobile screens,Manufacturing
sales & service representative,Sales
labor,Labor
vice president,Executive
practice administrator,Healthcare
consultant,Consulting
sr. manager planning & project controls,Project Management
transaction manager,Finance
operations support supervisor,Operations
deputy clerk,Administrative
president of brokerage operations,Executive
program administrator,Administrative
claims adjuster,Insurance
supervisor,Management
service tech,Technical Support
tech support,Technical Support
network systems administrator,IT/Technology
fleet manager,Operations
administrative assistant,Administrative
teacher,Education
sr director,Executive
marketing manager,Marketing
vp sales,Executive
causes,Other
ceo,Executive
office manager,Administrative
rural mail carrier,Logistics
nurse practitioner,Healthcare
general manager,Management
business professor,Education
controller,Finance
systems administrator,IT/Technology
manager security,Security
surgical technologist,Healthcare
service manager,Customer Service
global operations manager,Executive
ivymount school,Other
lineman,Technical Support
support analyst,IT/Technology
production worker,Manufacturing
truck driver,Logistics
helpdesk technician,IT/Technology
medical dosimetrist,Healthcare
accountant,Finance
senior pastor,Religious
enterprise client account specialist,Customer Service
member service,Customer Service
tol inc.,Other
pharmacy manager,Healthcare
manager,Management
purchasing manager,Procurement
staff manager,Human Resources
teacher,Education
auditor,Finance
civil engineer technician,Engineering
herdsman,Agriculture
medical assistant,Healthcare
operations coordinator,Operations
adc corp,Other
operations supervisor,Operations
cocktail waitress,Hospitality
rn nurse educator,Healthcare
asset protection manager,Security
kennel manager,Animal Care
purchasing coordinator,Procurement
sales,Sales
principal,Education
advanced production technician,Manufacturing
instructional designer,Education
information tech specialist,IT/Technology
event captain,Event Management
facility administrator,Administrative
owner,Executive
ironworker,Construction
medical assistant,Healthcare
firefighter,Emergency Services
night monitor,Security
